zapoteco,español,categoria,audio
"cun cuti escuel bai pus
 don na par iseden ladein","como no hay escuela , 
nosotros tenemos que enseñarles.",frase,cun_cuti.mp3
cunú,donde estas?,frase,cunú.mp3
curand,cilantro,verdura,curand.mp3
curs teti,nada,palabra,curs_teti.mp3
curs teti bana,no hice nada,frase,curs_teti_bana.mp3
curs teti canie,no estoy diciendo nada,frase,curs_teti_canie.mp3
curt tilot,no les de vergüenza,frase,cut_rtilot.mp3
cushteti cayak,nada esta pasando,frase,cushteti_cayak.mp3
cut' chale,no se va a poder,frase,cut_chale.mp3
cut ibestia liu,no te esperare,frase,cut_ibestia_liu.mp3
cut inastia,no agarrare,frase,cut_inastia.mp3
cut isun ni,no va a llegar,frase,cut_isuni.mp3
cut' rbesti,no esta,frase,cut_rbesti.mp3
cut' rcasu na,no me quieres?,frase,cut_rcasu_na.mp3
cut' rrllibia,no tengo miedo,frase,cut_rllibia.mp3
cuti,no,palabra,cuti.mp3
cut inustia liu,no te voy a agarrar,frase,cut-inustia-liu.mp3
cut' nantia,no se,frase,cut-nantia.mp3
cuton,camisa,articulo de vestir,cuton.mp3
dad,señor (Dios),persona,dad.mp3
dad rvest yubtu,el señor este con ustedes,frase,dad_rvest-yubtu.mp3
dad vid,Dios,palabra,dad_vid.mp3
damm,buo,animal,damm.mp3
dan,cerro,lugar,dan.mp3
dau,espiga de la milpa,parte de la milpa,dau.mp3
dets,detrás,lugar,dets.mp3
diag,oreja,parte del cuerpo,diaag.mp3
diág,liebre,animal,diag.mp3
dich,palabra,palabra,dich.mp3
dich nian,hablar en serio,frase,dich_nian.mp3
dich til,verdad,palabra,dich_til.mp3
dis ti puc,de verdad?,palabra,dis_ti_puc.mp3
dish gish ,chisme,palabra,dish_gish.mp3
diza do,zapoteco antiguo,frase,diza_do.mp3
na par isednu diza,tenemos que aprender zapoteco,palabra,diza.mp3
di zak ste yubtu,a su salud,frase,di-zak_ste-yubtu.mp3
dua,platano,frutas,dua.mp3
dub,maguey,planta,dub.mp3
rbes,vivir (estar),palabra,rbes.mp3
erge,maltratar,palabra,erge.mp3
erge de bun nare ,me maltrato la gente,frase,erge_de_bun_nare_.mp3
ga,nueve,numero,ga.mp3
gahua,voy a comer,frase,gahua.mp3
gai,cinco ,numero,gai.mp3
gak,hacer,frase,gak.mp3
gal guap,saludar,palabra,gal_guap.mp3
gal guap dios,saludar a dios,frase,gal_guap_dios.mp3
galna,malestar,palabra,gal_na.mp3
galrro,comida,palabra,gal_rro.mp3
gald,veinte,numero,gald.mp3
galsí,desgracia,palabra,galsi.mp3
galvi chon,veinti tres,numero,galvi_chon.mp3
galvi ga,veinti nueve,numero,galvi_ga.mp3
galvi gai,veinti cinco,numero,galvi_gai.mp3
galvi gats,veinti siete,numero,galvi_gats.mp3
galvi shron,veiiti ocho,numero,galvi_shron.mp3
galvi shrop,veinti seis,numero,galvi_shrop.mp3
galvi tap,veinti cuatro,numero,galvi_tap.mp3
galvi tiop,veinti dos,numero,galvi_tiop.mp3
galvi tub,veinti uno,numero,galvi_tub.mp3
galvi zhu,treinta,numero,galvi_zhu.mp3
galvi zhu chon,treinta y tres,numero,galvizhu_chon.mp3
galvi zhu ga,treinta y nueve,numero,galvizhu_ga.mp3
galvi zhu gai,treinta y cinco,numero,galvizhu_gai.mp3
galvi zhu gats,treinta y siete,numero,galvizhu_gats.mp3
galvi zhu shron,treinta y ocho,numero,galvizhu_shron.mp3
galvi zhu shrop,treinta y seis,numero,galvizhu_shrop.mp3
galvi zhu tap,treinta y cuatro,numero,galvizhu_tap.mp3
galvi zhu tiop,treinta y dos,numero,galvizhu_tiop.mp3
galvi zhu tub',treinta y uno,numero,galvizhu_tub.mp3
gansak,bendición,palabra,gansak.mp3
garad,arado,"herramienta de trabajo
 para el campo",garad.mp3
garbanz,garbanzo,alimento,garbanz.mp3
gasr,cerca (distancia),palabra,gasr.mp3
gats,siete,numero,gats.mp3
gayua,cien,numero,gayua.mp3
geb,cagual ( nombre de hierba),hierba,geb.mp3
gee,surco,palabra,gee.mp3
geé,tomar,palabra,geé.mp3
geel,noche,palabra,geel.mp3
gehs til,pan,alimento,gehs_til.mp3
gel,milpa,planta,gel.mp3
gel guie,mamey,fruto,gel_guie.mp3
get,tortilla,alimento,get.mp3
get bas guie,tamal de piedra,alimento,get_bas_guie.mp3
get baz,tamal,alimento,get_baz.mp3
get lo sul,empanada,alimento,get_lo_sul.mp3
get shun,entomatadas (de molcajete),comida,get_shun.mp3
gi,mañana,palabra,gi.mp3
gi niá,chile de agua,alimento,giniá.mp3
gi nionc,chile de onza,alimento,gi_nionc.mp3
gi ller,tijeras,articulo,giller.mp3
gi shrun,higaditos,comida,gi_shrun.mp3
gib,fierro,articulo de metal,gib.mp3
gib goz,aoz  ,herramienta de trabajo,gib_goz.mp3
gich quie,cabello ,parte del cuerpo,gich_quie.mp3
gich quie bizlo,pestañas y cejas,parte del cuerpo,gichquie_bizlo.mp3
gié,flor,palabra,gié.mp3
gie blli,flor de mayo,flor,gieb_gi.mp3
gie bsi,flor de calabaza,flor,gieb_si.mp3
gie non,anona,fruta,gie_non.mp3
gie penumbr,flor de penumbre,flor,gie_penumbr.mp3
gié wish,flor del campo,flor,gié_wish.mp3
gie zusen,flor de azucena,flor,gie_zusen.mp3
giee,piedra ,palabra,giee.mp3
gi llil,silla,mueble,gi-gil.mp3
gin,chile,alimento,gin.mp3
llin ruag,canasta,articulo,gin_ruag.mp3
giniag,chile de arbol,alimento,gi_niag.mp3
git,calabaza,verdura,git.mp3
llit,cebolla,verdura,llit.mp3
git rga,resortera,articulo,git_rga.mp3
git ru,labios,parte del cuerpo,git_ru.mp3
git tlan,calaza amarga,verdura,git_tlan.mp3
git tuez,chilacayota,frutas,git_tuez.mp3
gitia guch,chayote ,verdura,gitia_guch.mp3
gitz,"papel , meta te ",palabra,gitz.mp3
go,comer,palabra,go.mp3
goó he,vas ha comer?,frase,goo-he.mp3
hu bich,sol,palabra,gu_bich.mp3
guag,rata,animal,guag.mp3
guanee,llévalo,palabra,guanee.mp3
guch ,jilote (antes de sr elote),parte de la milpa,guch.mp3
guchllil,cuchillo ,utenciolio,guch_gill.mp3
gushliu,mundo ,palabra,guch_liu.mp3
gué ,mercado,lugar,gue.mp3
gueló,luciernaga,animal,gue_ló.mp3
gueshun,garrapata,animal,gue_shun.mp3
guetiup,avispa roja,animal,gue_tiup.mp3
guetub ,escarabajo,animal,guetub.mp3
guew,rio,lugar,guew.mp3
guie ringin,tejolote ,utencilio de cocina,guie_ringin.mp3
guii,rata de campo,animal,guii.mp3
gish,zacate,producto del campo,guish.mp3
guitzin ,murciélago ,animal,guitzin.mp3
guk,cuando,palabra,guk.mp3
guk gaki,cuando se va ha ser?,frase,guk-gak-i.mp3
gulge,tomen,frase,gul_ge.mp3
gulgue  dich,platiquen,frase,gul_gue__dich.mp3
gultee,torcaza,animal,gul_tee.mp3
